Date ,Relative Humidity ,Daily  rainfall  mm ,Wind speed (meter/second) ,wet bulb Temerature ( 0 C ),Runoff depth mm (output)
1/1/1980,60,0,10,3,0
1/2/1980,87,0,1,6,0
1/3/1980,62,0,5,4,0
1/4/1980,75,0,1,6,0
1/5/1980,60,3,4,3,0
1/6/1980,100,20,5,1,4.84018008
1/7/1980,100,0,9,3,0
1/8/1980,72,0,2,3,0
1/9/1980,62,0,1,4,0
1/10/1980,74,0,1,5,0
1/11/1980,73,9,8,4,0.356583507
1/12/1980,100,10,2,7,0.582340361
1/13/1980,87,4.8,8,6,0
1/14/1980,87,11.2,11,6,0.913762119
1/15/1980,86,12,12,5,1.168202864
1/16/1980,84,0,12,1,0
1/17/1980,74,3.5,10,5,0
1/18/1980,87,5,7,7,0
1/19/1980,100,10,12,2,0.582340361
1/20/1980,86,6,8,5,0.004424842
1/21/1980,77,5,1,8,0
1/22/1980,74,6.5,3,5,0.025175783
1/23/1980,100,20,2,5,4.84018008
1/24/1980,100,8,3,4,0.181467851
1/25/1980,100,2,11,5,0
1/26/1980,87,0,2,6,0
1/27/1980,62,9,8,4,0.356583507
1/28/1980,50,0,9,4,0
1/29/1980,100,0,10,4,0
1/30/1980,100,0,6,1,0
1/31/1980,100,0,11,1,0
2/1/1980,84,0,15,1,0
2/2/1980,62,2,3,4,0
2/3/1980,53,1.8,8,5,0
2/4/1980,86,1.7,11,5,0
2/5/1980,86,4.5,10,5,0
2/6/1980,100,0,5,6,0
2/7/1980,74,0,4,5,0
2/8/1980,87,0,13,6,0
2/9/1980,100,0,15,7,0
2/10/1980,87,5,10,6,0
2/11/1980,100,3,10,7,0
2/12/1980,100,0,15,6,0
2/13/1980,76,8.5,7,7,0.262389997
2/14/1980,100,9.2,11,5,0.397836569
2/15/1980,100,4.9,20,8,0
2/16/1980,87,17,2,6,3.25814732
2/17/1980,100,24.5,15,5,7.552076813
2/18/1980,100,7,13,3,0.062129833
2/19/1980,86,2,8,5,0
2/20/1980,87,1.5,4,6,0
2/21/1980,76,0,1,7,0
2/22/1980,100,0,8,6,0
2/23/1980,75,9.5,10,6,0.463427793
2/24/1980,86,4,2,5,0
2/25/1980,100,8,8,4,0.181467851
2/26/1980,86,1,4,5,0
2/27/1980,87,0,1,7,0
2/28/1980,100,1.8,14,7,0
2/29/1980,100,6.5,10,5,0.025175783
3/1/1980,86,12,15,4,1.168202864
3/2/1980,100,45,5,1,22.91977299
3/3/1980,86,33,9,4,13.46457658
3/4/1980,49,0,7,4,0
3/5/1980,86,0,2,5,0
3/6/1980,87,0,1,6,0
3/7/1980,100,0,15,9,0
3/8/1980,44,0,2,9,0
3/9/1980,100,0,15,9,0
3/10/1980,58,0,6,8,0
3/11/1980,46,14,12,6,1.908710559
3/12/1980,87,0,27,6,0
3/13/1980,75,0,8,6,0
3/14/1980,75,4.5,5,6,0
3/15/1980,100,3.5,1,7,0
